Symbol,Name,Sector,PE_Ratio,PB_Ratio,Sales_Growth,Profit_Margin,Market_Cap,Current_Price,52W_High,52W_Low
INDUSINDBK,IndusInd Bank Limited,Banking,14.83,1.01,-40.0,-4.89,660305805312,847.55,1086.55,606.0
AXISBANK,Axis Bank Limited,Banking,14.65,1.9,-6.0,34.3,3793367334912,1221.7,1304.0,932.7
KOTAKBANK,Kotak Mahindra Bank Limited,Banking,23.16,2.56,-12.4,25.54,4306843729920,2166.5,2299.25,1721.76
ICICIBANK,ICICI Bank Limited,Banking,18.28,2.88,7.9,27.91,9656269275136,1350.4,1488.51,1176.92
HDFCBANK,HDFC Bank Limited,Banking,22.71,2.81,-7.2,26.96,15284538703872,993.5,1020.5,801.32
SBIN,State Bank of India,Banking,10.71,1.56,8.1,22.62,8881700864000,962.2,999.0,666.61
BANDHANBNK,Bandhan Bank Limited,Banking,18.91,0.94,-32.5,15.0,232412905472,144.1,190.74,127.0
IDFCFIRSTB,IDFC First Bank Limited,Banking,46.6,1.82,16.1,6.61,732954296320,85.27,85.95,52.29
FEDERALBNK,The Federal Bank Limited,Banking,16.36,1.77,2.0,28.99,642745171968,261.4,271.1,171.62
BAJFINANCE,Bajaj Finance Limited,Banking,33.92,6.0,20.6,45.03,6197732179968,997.2,1102.5,675.03
YESBANK,Yes Bank Limited,Banking,23.82,1.38,6.4,19.07,673067630592,21.44,24.3,16.02
BAJAJFINSV,Bajaj Finserv Ltd.,Banking,33.52,4.18,11.1,6.95,3207180058624,2008.7,2195.0,1559.24
HDFCLIFE,HDFC Life Insurance Company Limited,Banking,85.13,9.5,-27.5,2.06,1608531574784,745.7,820.75,582.69
PNB,Punjab National Bank,Banking,8.07,0.97,-5.6,32.98,1376558776320,119.7,127.8,83.05
CANBK,Canara Bank,Banking,6.36,1.18,12.5,29.18,1361141956608,150.06,154.21,75.88
BANKBARODA,Bank of Baroda Limited,Banking,7.74,0.94,0.2,29.93,1489698029568,288.0,303.95,184.35
UNIONBANK,Union Bank of India,Banking,6.16,0.91,-1.8,35.41,1138704908288,149.17,160.15,97.51
SBILIFE,SBI Life Insurance Company Limited,Banking,82.65,11.07,-42.8,2.36,2024913895424,2019.2,2086.6,1369.94
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Banking,72.24,7.42,-52.4,2.26,943877455872,652.35,693.5,525.1
INFY,Infosys Limited,IT,23.4,6.56,3.7,16.58,6695428816896,1655.0,1925.81,1269.43
ICICIGI,ICICI Lombard General Insurance Company Limited,Banking,34.67,5.81,12.6,10.93,965833654272,1940.0,2064.9,1602.48
HDFCAMC,HDFC Asset Management Company Limited,Banking,41.09,14.56,6.2,62.72,1127854899200,2632.0,2967.25,1748.71
TCS,Tata Consultancy Services Limited,IT,23.86,11.1,2.4,19.19,11808351977472,3263.7,4177.63,2855.95
MOTILALOFS,Motilal Oswal Financial Services Limited,Banking,26.23,4.03,-38.7,30.99,520128299008,865.0,1097.1,513.0
IIFL,IIFL Finance Limited,Banking,29.93,1.95,19.8,14.35,253233332224,595.7,607.55,279.8
WIPRO,Wipro Limited,IT,20.73,3.24,1.8,15.06,2792091549696,266.54,317.36,223.6
EDELWEISS,Edelweiss Financial Services Limited,Banking,17.24,1.69,-38.9,7.63,102442655744,108.25,127.91,72.54
TECHM,Tech Mahindra Limited,IT,32.24,5.24,5.1,8.3,1440967426048,1626.8,1723.73,1175.39
HCLTECH,HCL Technologies Limited,IT,26.41,6.21,5.8,13.89,4480107544576,1653.6,1938.49,1267.76
LTTS,L&T Technology Services Limited,IT,37.32,7.71,15.8,11.13,476732850176,4502.3,5571.27,3914.2
MPHASIS,Mphasis Limited,IT,30.62,5.66,10.3,11.98,544900874240,2862.7,3037.2,2004.5
COFORGE,Coforge Limited,IT,52.0,8.21,30.2,8.16,565517025280,1687.9,1989.7,1185.73
